Code,name,latitude,longitude,o_m_peak,o_e_peak,d_m_peak,d_e_peak,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity,area,missing_rate,demand
6005,Metcalfe / du Square-Dorchester,45.500208064155046,-73.57113786041738,710.0,6766.0,6290.0,2292.0,4774.11849885,0.0,0.0,399.134620342,0,4,6,0,1.32140338239,1.0,1.0,96.0,31.0,30470.7534901,0.024875621890547265,66.1734693877551
6006,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,1705.0,1529.0,405.0,1578.0,36750.9449465,935.572904945,998.146263805,2367.88589472,0,2,0,0,2447.17851059,5.0,3.0,61.0,31.0,196207.490211,0.0,31.766169154228855
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641112,749.0,1725.0,956.0,2007.0,0.0,54.563952137600005,91.6761738764,1208.0135789100002,0,9,9,0,649.3561188169999,1.0,7.0,94.0,31.0,53307.6511863,0.0845771144278607,33.03260869565217
6008,Sanguinet / Ste-Catherine,45.512796855823325,-73.56146247242576,808.0,3048.0,4493.0,2902.0,0.0,0.0,34.9523529066,540.588425279,0,10,8,0,69.6604293756,0.0,0.0,92.0,27.0,30896.7606719,0.0,44.65174129353234
6009,Crescent / de Maisonneuve,45.49811161443597,-73.57761539518833,822.0,4583.0,1898.0,3776.0,0.0,191.769886505,11.9715192208,740.612072667,0,35,33,0,154.873827141,2.0,3.0,98.0,23.0,42348.8655911,0.0845771144278607,66.94021739130434
6011,St-André / St-Antoine,45.51411452790017,-73.55264469981194,2684.0,3504.0,2995.0,3696.0,20525.7680669,46.4921815783,1995.35911425,1892.95629435,0,2,0,0,977.84944734,4.0,2.0,84.0,27.0,107532.697894,0.0,53.17910447761194
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,1980.0,8967.0,8122.0,13752.0,0.0,359.743610771,225.284522166,728.513246417,1,8,2,0,433.000795636,4.0,5.0,93.0,49.0,56640.9995719,0.0,128.24875621890547
6013,Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,901.0,4320.0,2606.0,5872.0,0.0,210.27518289,0.0,523.421841114,0,1,0,0,397.585631767,1.0,1.0,94.0,31.0,41904.5734607,0.0,58.233830845771145
6014,St-Denis / René-Lévesque,45.51287121578035,-73.55846643447877,1970.0,3360.0,3296.0,3146.0,0.0,72.2690705688,945.698945584,767.5492210769999,0,8,8,1,817.921532348,7.0,13.0,93.0,43.0,73234.8573679,0.0,52.91044776119403
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273,2471.0,10518.0,7728.0,14868.0,0.0,301.90775673,0.0,450.412448073,1,0,1,0,19.5560201017,5.0,6.0,92.0,31.0,19673.8516822,0.0,142.4228855721393
6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.53928499999998,335.0,1198.0,925.0,771.0,0.0,1062.40327633,188.724059027,1899.54436823,0,0,0,0,162.89278879099996,2.0,4.0,35.0,27.0,196207.36354,0.014925373134328358,12.16161616161616
6017,Atateken / du Square Amherst,45.52063377251984,-73.56390595436095,2139.0,2036.0,793.0,4265.0,166.7715441,0.0,159.701686024,1091.93633492,0,9,2,0,1027.77208653,6.0,4.0,93.0,31.0,54425.6978455,0.0,41.02985074626866
6018,St-André / Ontario,45.51889,-73.56353,2376.0,2759.0,1050.0,4914.0,0.0,0.0,0.0,1145.42609761,0,5,1,0,686.65906687,1.0,1.0,94.0,19.0,53297.5256801,0.0,53.15422885572139
6019,Métro Sherbrooke (de Rigaud / Berri),45.51799893773692,-73.56818407773972,3390.0,7699.0,2977.0,4701.0,4491.70802819,238.673677187,629.1022671190001,1428.32708988,1,23,20,1,1018.44804571,6.0,5.0,95.0,23.0,73005.3071094,0.0,124.11442786069652
6020,Sanguinet / Ontario,45.51476724402057,-73.56549113988876,1412.0,3615.0,1875.0,5896.0,0.0,0.0,265.255152831,1097.68669781,0,13,37,0,802.1715023079998,3.0,1.0,93.0,19.0,81206.236593,0.06467661691542288,66.38829787234043
6021,de l'Hôtel-de-Ville / Sherbrooke,45.5145646696576,-73.56840670108795,3257.0,4390.0,1810.0,3737.0,0.0,0.0,330.471742467,1068.47686731,0,2,0,0,1223.6816880499996,2.0,2.0,94.0,27.0,73914.0944967,0.0,80.03482587064677
6022,William-Tremblay / Molson,45.5417198089013,-73.565177321434,1422.0,3701.0,2619.0,3277.0,0.0,470.525216201,0.0,1055.96032213,0,4,0,0,84.8471998625,4.0,1.0,67.0,23.0,162847.424857,0.0,47.950248756218905
6023,de la Commune / Berri,45.51086,-73.54983,2746.0,9615.0,5490.0,11222.0,44365.3660962,318.893113698,318.89260725400004,1189.55393072,0,1,3,0,393.77041939,2.0,1.0,77.0,51.0,124346.433342,0.0,124.57711442786069
6025,Notre-Dame / St-Gabriel,45.5071439192841,-73.55511903762817,556.0,2615.0,1987.0,1737.0,4983.32015744,133.56404063899998,168.223942454,1087.25918572,0,17,13,0,79.9975295975,3.0,3.0,94.0,15.0,64780.1874605,0.004975124378109453,33.195
6026,de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379396,1275.0,12140.0,4849.0,15808.0,54054.9311945,396.070145458,396.070179262,1498.91538781,0,23,30,0,100.670831397,1.0,1.0,84.0,81.0,124982.492612,0.0,147.9402985074627
6027,de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729005,894.0,10135.0,7003.0,5448.0,0.0,50.2962670966,0.0,133.26455143799998,0,1,0,0,0.0,0.0,0.0,97.0,23.0,7838.94713064,0.0,101.67164179104478
6029,Bourget / St-Jacques,45.48084576334506,-73.58386158943176,1144.0,1282.0,929.0,1798.0,0.0,247.51647199400003,736.747007398,983.293699559,0,4,0,0,1120.09118073,2.0,4.0,81.0,19.0,93659.6962082,0.01990049751243781,21.126903553299492
6031,de Maisonneuve / Robert-Bourassa,45.504262928300726,-73.57152342796327,481.0,2665.0,2654.0,1888.0,0.0,255.417168058,190.358579199,309.082105092,4,3,6,0,0.0,4.0,5.0,99.0,34.0,35284.4709508,0.024875621890547265,31.95408163265306
6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,701.0,4376.0,7547.0,5453.0,0.0,628.069078541,1268.6626306899998,389.163761229,1,9,1,0,79.913716947,4.0,6.0,91.0,33.0,55186.0065196,0.0,54.51243781094527
6033,16e avenue / Beaubien,45.55828063767653,-73.58315885066986,698.0,863.0,652.0,771.0,47935.3540435,731.3752720769999,0.0,1417.5104428700004,0,2,2,0,675.4689263619999,2.0,2.0,76.0,15.0,183916.658079,0.004975124378109453,15.815
6035,Viger / Chenneville,45.50531166520915,-73.56089115142822,399.0,1875.0,4078.0,1383.0,0.0,357.159124461,985.560373832,948.459911935,1,8,6,0,557.3035938830001,1.0,2.0,96.0,38.0,69213.310728,0.009950248756218905,22.673366834170853
6036,de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,1825.0,12846.0,8169.0,14330.0,52586.0511038,348.533222554,348.51589811800005,1568.36089488,0,27,18,0,383.59965086,2.0,1.0,90.0,43.0,132931.633577,0.0,154.45273631840797
6037,St-Nicolas / Place d'Youville,45.50196685910157,-73.55515256524086,875.0,3690.0,2608.0,2903.0,21567.174698600003,257.94204806,257.951196118,2307.1854588,0,34,21,0,360.617809685,2.0,1.0,89.0,15.0,101200.786407,0.0,48.03482587064676
6038,McGill / Place d'Youville,45.49975,-73.55566,2051.0,5951.0,4699.0,4615.0,4604.03558917,515.417196516,144.540130666,1597.12510565,0,17,16,0,556.508610992,2.0,4.0,90.0,24.0,68650.3766296,0.0,76.72636815920399
6039,McGill / des Récollets,45.500779,-73.558826,1104.0,5552.0,4798.0,3540.0,0.0,200.931712876,0.0,988.785515306,0,17,12,0,373.814011575,2.0,3.0,91.0,19.0,39264.4051005,0.0,64.60696517412936
6040,St-Jacques / St-Pierre,45.50278649802565,-73.55913430452347,668.0,4219.0,4303.0,2255.0,0.0,210.088886777,242.311257648,1907.31103081,0,29,28,0,334.24008585400003,0.0,0.0,92.0,23.0,82833.6609284,0.05472636815920398,52.3
6041,St-Jacques / McGill,45.50144108135568,-73.56014415621758,1490.0,4375.0,4192.0,2172.0,0.0,400.975532813,83.14547554979998,646.6428263689999,1,6,15,0,7.274131848530001,2.0,3.0,88.0,31.0,31869.8906538,0.03482587064676617,52.28865979381443
6042,de la Gauchetière / Robert-Bourassa,45.50060578095098,-73.56544822454454,2821.0,5163.0,4560.0,3314.0,0.0,0.0,1209.1841232499996,982.109150762,0,4,6,0,0.0,4.0,7.0,92.0,27.0,69569.8456487,0.0,64.85074626865672
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,3071.0,13290.0,25716.0,6675.0,0.0,424.902957565,1081.50701994,1911.94049085,2,9,10,0,583.7367234770002,4.0,6.0,95.0,19.0,85468.1643346,0.0,129.03980099502488
6044,Roy / St-André,45.52156427090662,-73.57036739587785,3423.0,4745.0,977.0,5870.0,0.0,0.0,0.0,1720.28897007,0,3,3,0,1071.71928647,0.0,0.0,94.0,23.0,67366.7308749,0.0,76.41293532338308
6046,Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831217703312,-73.56725603342056,3235.0,7273.0,5091.0,5064.0,2061.60707844,0.0,239.312729436,866.778442459,1,6,2,0,6.67604636422,4.0,5.0,94.0,47.0,50420.5390056,0.0,86.08955223880596
6047,University / Prince-Arthur,45.507401678946415,-73.5784435272217,1101.0,4926.0,3152.0,1481.0,6748.08120978,70.8464592636,433.53011819,187.566166729,0,0,0,0,333.521640476,1.0,2.0,91.0,39.0,44150.6505098,0.004975124378109453,62.59
6048,William / St-Henri,45.49891911390353,-73.55725407600403,1303.0,2676.0,2948.0,1415.0,0.0,369.923532822,0.0,1013.4084281,0,6,1,0,239.791981543,0.0,0.0,91.0,19.0,42389.3626778,0.029850746268656716,34.17948717948718
6049,Queen / Wellington,45.497605276991,-73.55534970760345,1557.0,5678.0,6047.0,2393.0,0.0,476.753244456,346.06733250900004,1156.91434592,0,4,4,0,484.3652361280001,5.0,6.0,88.0,47.0,60651.5245494,0.009950248756218905,71.11557788944724
6050,St-Maurice / Robert-Bourassa,45.49857779102015,-73.56024205684663,1058.0,2797.0,3556.0,1334.0,0.0,0.0,1281.3412038899996,2019.62715832,0,3,1,0,49.612788209,3.0,2.0,89.0,39.0,66163.4120822,0.07462686567164178,35.67741935483871
6051,de Gaspé / Marmier,45.529686,-73.60172800000002,1012.0,2549.0,1541.0,1843.0,0.0,289.604096009,350.733563009,1809.46797985,0,2,0,0,260.227844495,0.0,0.0,83.0,22.0,105339.539394,0.0,33.243781094527364
6052,de la Commune / King,45.49751503379366,-73.55257093906404,2319.0,18378.0,15592.0,13642.0,1236.1693294899997,393.181206816,327.123974687,498.944043607,0,3,1,0,349.14547375,3.0,2.0,86.0,105.0,118037.819757,0.0,187.45771144278606
6053,du Président-Kennedy / Jeanne-Mance,45.50820461505136,-73.56881439685822,1838.0,11175.0,7107.0,8875.0,0.0,337.591486143,337.250918017,1347.9013841699998,4,14,8,0,363.088293499,12.0,11.0,99.0,27.0,96250.4437416,0.0,129.9402985074627
6057,Peel / de la Gauchetiere,45.4977183451679,-73.56818005442621,2438.0,4928.0,3653.0,3428.0,6224.3391609,0.0,866.000595991,594.8486836889998,1,4,2,0,3.3954688501300003,4.0,3.0,94.0,19.0,68294.2057772,0.0,65.85572139303483
6058,Cypress / Peel,45.49932551028458,-73.57176750898361,684.0,5142.0,3751.0,2193.0,4870.3858185200015,0.0,528.2599155930001,524.250321214,0,11,20,0,10.3226691277,3.0,12.0,96.0,23.0,46598.902953,0.0,55.72139303482587
6059,de la Cathédrale / René-Lévesque,45.499191207076606,-73.56942057609558,1361.0,5090.0,3766.0,1816.0,14882.412054099996,0.0,899.424891836,427.017214502,0,1,1,0,8.909997331510002,7.0,16.0,96.0,55.0,52672.5275031,0.0,56.81094527363184
6060,Belmont / Robert-Bourassa,45.501366848348894,-73.56583714485167,731.0,2083.0,1597.0,716.0,0.0,0.0,321.778256979,336.765719429,0,5,2,0,0.0965436083968,0.0,0.0,92.0,33.0,32155.1774343,0.0,24.83084577114428
6061,Mansfield / Ste-Catherine,45.50139870932151,-73.57178628444672,461.0,3580.0,1917.0,2125.0,0.0,0.0,0.0,935.041440368,0,24,14,0,3.89826281123,1.0,2.0,97.0,23.0,38869.6642889,0.2935323383084577,62.352112676056336
6062,Drummond / Ste-Catherine,45.49863930330429,-73.57422709465027,906.0,4388.0,2007.0,2543.0,0.0,0.0,16.0229330992,627.768531484,0,39,29,0,194.524007662,0.0,0.0,97.0,31.0,49991.5472833,0.0,56.233830845771145
6063,Drummond / de Maisonneuve,45.49947,-73.57591,1343.0,6135.0,3399.0,3625.0,0.0,158.848022595,0.0,392.00975229,0,10,9,0,324.614701446,1.0,1.0,97.0,43.0,29724.436116,0.0,79.01990049751244
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,1618.0,13050.0,8814.0,5385.0,0.0,97.422456499,0.0,287.842041729,1,12,8,0,148.585382692,0.0,0.0,96.0,57.0,19980.5698992,0.0,140.03980099502488
6065,de la Montagne / Sherbrooke,45.49974475043378,-73.57903361320496,1636.0,3473.0,1362.0,2528.0,0.0,0.0,303.92647783,1419.1063491699997,0,12,7,0,1690.80252438,3.0,2.0,96.0,23.0,104224.644273,0.03482587064676617,54.18041237113402
6066,McTavish / des Pins,45.50530549708951,-73.58100235462189,618.0,2586.0,755.0,809.0,35593.8088607,487.310209393,679.489450274,552.786010259,0,0,1,0,171.116598551,4.0,3.0,81.0,25.0,156721.840656,0.0,36.20398009950249
6067,Porte-de-Québec / St-Hubert,45.51249475526989,-73.55087846517563,866.0,5288.0,4493.0,2419.0,229.760081182,245.604042273,387.904282354,1417.65594772,0,2,2,0,1027.61446098,1.0,1.0,81.0,20.0,98405.4318595,0.0,51.72139303482587
6068,2e avenue / Jean-Rivard,45.56250903804892,-73.6165603995323,141.0,1193.0,1029.0,396.0,16210.895065900002,416.426684616,0.0,1110.90283596,0,3,0,0,531.666622441,1.0,1.0,49.0,31.0,169656.634964,0.03980099502487562,11.145077720207254
6070,Milton / University,45.5064484,-73.57634872,2927.0,11424.0,7661.0,5474.0,9957.79302986,368.945100459,290.706233243,254.685055335,0,0,1,1,443.180287127,1.0,3.0,94.0,40.0,76095.280355,0.029850746268656716,150.83589743589744
6072,Metcalfe / de Maisonneuve,45.50171494932854,-73.57413053512573,563.0,6077.0,5257.0,1533.0,0.0,72.2045387139,0.0,250.390804956,1,4,5,0,24.732046010300003,0.0,0.0,96.0,23.0,14984.0527913,0.0,58.53233830845771
6073,de Maisonneuve / Aylmer (ouest),45.50501,-73.57069,1078.0,15395.0,9721.0,6320.0,0.0,68.5566853058,0.0,263.915109688,2,2,3,0,1.271126422,0.0,0.0,99.0,37.0,11709.0608675,0.0,147.33830845771143
6075,University / des Pins,45.50829509569767,-73.58064293861388,354.0,3102.0,1065.0,604.0,582.3099028550001,0.0,514.3145288630001,264.698790318,0,0,0,0,151.352705633,5.0,2.0,79.0,33.0,114581.992914,0.004975124378109453,33.18
6076,de Ville-Marie / Ste-Catherine,45.55792114867546,-73.52914720773697,1117.0,1026.0,473.0,2042.0,17787.7556044,917.072697801,1361.2464025900003,2209.41080761,0,7,3,0,1980.3889089,8.0,2.0,44.0,15.0,196207.343005,0.0,18.786069651741293
6078,St-Alexandre / Ste-Catherine,45.50538225593995,-73.56763422489165,658.0,2831.0,2184.0,2205.0,0.0,0.0,306.414111431,1007.09646617,0,34,15,0,393.1807825030001,1.0,5.0,99.0,23.0,69497.7272744,0.29850746268656714,49.41843971631206
6079,Hutchison / Prince-Arthur,45.50975858607626,-73.5761073231697,2692.0,3966.0,1318.0,3918.0,0.0,328.962465377,0.0,462.064278659,0,0,0,0,713.7344389660001,0.0,0.0,95.0,23.0,25436.2337609,0.0,63.59701492537314
6080,Métro Vendôme (de Marlowe / de Maisonneuve),45.47393028235147,-73.60473453998564,4329.0,8146.0,5556.0,6832.0,0.0,939.509347103,703.4324772839999,2043.97127351,1,7,4,0,1247.1484432700004,12.0,10.0,83.0,23.0,196207.641483,0.01990049751243781,113.25888324873097
6081,Mackay / Ste-Catherine,45.49570931691902,-73.57695221900941,907.0,2348.0,1207.0,1531.0,0.0,0.0,101.362893028,426.304842648,0,12,22,0,242.724777877,0.0,0.0,98.0,31.0,39604.1478423,0.1044776119402985,38.75555555555555
6082,5e avenue / Rosemont,45.54990048023633,-73.58308374881743,1142.0,718.0,165.0,984.0,0.0,702.61552052,262.475851916,2067.15320692,0,6,1,0,1600.56814197,2.0,2.0,78.0,19.0,119520.517817,0.04477611940298507,18.302083333333332
6083,Square Phillips,45.50373771539476,-73.56810629367828,1171.0,10330.0,10353.0,3927.0,1005.40405482,0.0,79.59117314569998,344.75540044699994,0,14,13,0,160.259112349,0.0,0.0,99.0,39.0,30269.164433,0.0,97.92537313432835
6084,Duke / Brennan,45.49558135053393,-73.55371087789534,804.0,3843.0,4602.0,1753.0,771.8602153069999,1123.26065337,969.733795813,1557.57729106,0,6,3,0,322.430912974,1.0,1.0,78.0,23.0,103348.780553,0.0,44.288557213930346
6085,Notre-Dame / Peel,45.4952,-73.56328,2052.0,5308.0,6421.0,6543.0,0.0,0.0,681.2033973630001,852.2437259669999,0,3,2,1,831.129310805,2.0,4.0,91.0,47.0,81840.4535965,0.0,70.29850746268657
6086,Basin / du Séminaire,45.49045242854756,-73.56017231941223,1339.0,2365.0,683.0,4411.0,17212.977876,1145.1931923400002,357.911655605,1334.90856728,0,5,0,0,726.462034925,2.0,1.0,75.0,31.0,142321.486268,0.22388059701492538,49.44230769230769
6087,Notre-Dame / de la Montagne,45.49302901258371,-73.56481790542604,3445.0,5806.0,2838.0,9132.0,0.0,0.0,745.341227535,1019.79718406,0,10,4,0,1887.04456639,5.0,1.0,87.0,31.0,108971.362917,0.0,91.7363184079602
6088,Richmond / Notre-Dame,45.4891601257399,-73.56777101755141,2086.0,3129.0,2095.0,4306.0,4078.72223949,345.723277053,392.797630951,616.31366501,0,16,4,0,513.513235314,4.0,3.0,81.0,23.0,71751.4667264,0.06965174129353234,51.74866310160428
6089,Henri-Julien / du Carmel,45.527839413108,-73.59482109546661,1557.0,3459.0,3787.0,1641.0,0.0,0.0,89.69100989639999,442.179602254,0,3,1,0,440.434488161,1.0,2.0,91.0,27.0,40310.24667,0.0,41.59701492537314
6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49487159597494,-73.57112377882005,1765.0,2889.0,1756.0,2825.0,0.0,0.0,1747.4123335,1861.91194834,1,9,10,0,301.49452413,9.0,15.0,94.0,17.0,134294.220546,0.0,43.47761194029851
6091,Joseph-Manseau / René-Lévesque,45.49168652100804,-73.57676714658737,2094.0,2247.0,454.0,2722.0,0.0,0.0,1510.30042874,1635.50063615,0,5,1,0,1448.80010122,5.0,12.0,94.0,19.0,117922.272599,0.0,43.85572139303483
6092,Crescent / Ste-Catherine,45.49709201687824,-73.57554942369461,1139.0,3942.0,2694.0,2784.0,0.0,0.0,0.0,847.0203295129999,0,26,21,0,565.1380941880001,1.0,2.0,98.0,27.0,52762.0069905,0.04975124378109453,57.1151832460733
6093,Atwater / Sherbrooke,45.491225854759705,-73.58763009309769,1537.0,2001.0,887.0,1993.0,1280.73452786,0.0,1047.67165314,932.94571519,0,0,0,0,1256.3232165699997,6.0,6.0,95.0,23.0,148897.682086,0.0,35.46268656716418
6094,de Gaspé / Fairmount,45.52564776553033,-73.59292745590209,1065.0,2810.0,1631.0,2063.0,118.240685044,125.829452944,0.0,500.609673005,0,2,0,0,543.736879601,0.0,0.0,95.0,19.0,37221.9685209,0.0,39.114427860696516
6095,Chomedey / de Maisonneuve,45.49180027678722,-73.58400642871855,4635.0,6571.0,2019.0,7318.0,0.0,235.098203534,6.92446725924,864.272741791,0,11,4,0,2146.31456712,1.0,2.0,95.0,27.0,53899.2337162,0.0,103.43283582089552
6096,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589,1565.0,2263.0,2211.0,3456.0,0.0,0.0,1187.1552205100004,1464.0977559999997,0,4,1,0,771.979567007,2.0,1.0,92.0,23.0,74715.9710227,0.0,34.288557213930346
6097,Ste-Catherine / St-Marc,45.49289739717746,-73.58029425144196,2821.0,3565.0,577.0,3303.0,0.0,129.633616793,0.0,908.602694617,0,18,15,0,1510.85815459,0.0,0.0,97.0,27.0,44999.1354247,0.0,67.59203980099502
6098,Bishop / Ste-Catherine,45.49658329569871,-73.57650160789491,779.0,2800.0,1088.0,1386.0,0.0,0.0,0.0,325.446485057,0,12,21,0,178.40771842,0.0,0.0,98.0,31.0,18939.8722442,0.0,43.124378109452735
6099,Ste-Catherine / Labelle,45.51506508398211,-73.55922952294348,1877.0,5814.0,4044.0,8489.0,0.0,181.220722857,0.0,708.779598876,1,7,7,0,197.304150842,4.0,6.0,94.0,23.0,37375.9209527,0.0,88.0049751243781
6100,Mackay / de Maisonneuve,45.49659000000001,-73.57851,4588.0,13824.0,7279.0,10856.0,0.0,244.11363349,229.006846627,591.4550350329998,1,27,16,1,1142.16295817,5.0,7.0,99.0,31.0,57330.7216967,0.1044776119402985,202.88333333333333
6101,Métro Villa-Maria (Décarie / de Monkland),45.479483,-73.61979000000002,1604.0,2624.0,889.0,1039.0,19010.9958444,0.0,1810.38648942,1560.80935543,1,8,4,0,969.791009754,4.0,4.0,81.0,16.0,160170.594164,0.0,46.7363184079602
6102,Lincoln / du Fort,45.493034,-73.583836,1468.0,1580.0,321.0,1745.0,0.0,135.215169787,208.765702812,600.301382732,0,6,2,0,1754.57177021,3.0,4.0,95.0,15.0,58108.6021522,0.06965174129353234,31.112299465240643
6103,du Havre / Hochelaga,45.535753085274585,-73.55794072151183,853.0,786.0,290.0,1274.0,7461.36118092,263.5963553,310.880973773,1318.11803434,0,6,0,0,1210.21965982,7.0,9.0,84.0,31.0,85920.5201861,0.07960199004975124,16.91891891891892
6104,Wolfe / René-Lévesque,45.51681750463149,-73.55418831109999,2285.0,3986.0,4211.0,3883.0,0.0,333.342753098,809.4745316210001,1406.4334708099998,0,8,8,0,1234.8435780700004,4.0,9.0,89.0,31.0,111763.832393,0.029850746268656716,61.41538461538462
6105,Plessis / René-Lévesque,45.51937252291976,-73.55195805430411,1994.0,2455.0,3378.0,2757.0,0.0,308.339445932,826.138826442,936.993570112,0,1,2,0,465.51294348,2.0,8.0,84.0,19.0,109154.193242,0.029850746268656716,41.07692307692308
6106,Papineau / René-Lévesque,45.52114,-73.54926,865.0,1770.0,1420.0,1926.0,0.0,704.3056244590001,2566.81962031,999.116369275,0,4,2,0,406.138699902,2.0,8.0,80.0,25.0,143661.386926,0.0,27.09452736318408
6107,St-Mathieu / Ste-Catherine,45.49367956421703,-73.57914626598358,2906.0,4317.0,1150.0,4540.0,0.0,131.945336887,0.0,728.3789358699999,1,16,24,0,991.07962943,7.0,9.0,97.0,31.0,49456.9090969,0.004975124378109453,79.84
6108,Logan / Fullum,45.52836601591233,-73.55117082595825,1905.0,2198.0,1621.0,2846.0,9308.95674055,423.700427358,0.0,1811.0601862,0,3,2,0,947.886943236,4.0,4.0,77.0,19.0,135654.610484,0.0,38.81592039800995
6109,Quai de la navette fluviale,45.513741443172,-73.53838205337523,156.0,1707.0,346.0,1847.0,93546.4838823,0.0,0.0,1381.1950963699996,0,0,0,0,0.0,0.0,0.0,8.0,19.0,196207.361407,0.07462686567164178,22.72043010752688
6110,Poupart / Ste-Catherine,45.52900206660642,-73.54619935154916,1386.0,1521.0,639.0,2358.0,9786.9241192,521.9870037640001,1130.02957547,1822.33402204,0,6,4,0,987.646563892,7.0,8.0,70.0,19.0,128117.082284,0.0,29.616915422885572
6111,Parthenais / Ste-Catherine,45.52600589494234,-73.54886412620543,1846.0,2180.0,1382.0,3289.0,0.0,223.997933057,289.231002077,1333.22160794,0,7,2,0,989.834847806,6.0,5.0,85.0,31.0,116196.615679,0.0,39.4228855721393
6112,Montcalm / de Maisonneuve,45.519139183741046,-73.55786561965942,2881.0,4585.0,2113.0,6501.0,0.0,266.645932207,0.0,1507.23035672,1,25,18,0,939.617825006,5.0,3.0,93.0,19.0,66481.9331854,0.0,84.01492537313433
6113,Alexandre-DeSève / Ste-Catherine,45.52123044585842,-73.55386108160019,1715.0,2239.0,1284.0,2997.0,0.0,62.3252693863,0.0,1361.4135432600003,0,11,13,0,488.843868216,1.0,2.0,89.0,19.0,64088.9945472,0.06467661691542288,43.38297872340426
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,3526.0,8646.0,4925.0,11584.0,240.166258782,1260.49784768,824.8307923210001,1961.48624466,1,19,13,0,1264.3317172700004,13.0,10.0,87.0,25.0,119171.782277,0.0,130.3134328358209
